Week_end,Indicator,High_industry,Value
2019-07-07,Weekly earnings - upper quartile - 34 days,C Services,1442.31
2019-07-07,Weekly earnings - upper quartile - 34 days,Z No Match,936.14
2019-07-07,Weekly earnings - lower quartile - 34 days,Total,645
2019-07-07,Weekly earnings - lower quartile - 34 days,A Primary,576.92
2019-07-07,Weekly earnings - lower quartile - 34 days,B Goods Producing,853.57
2019-07-07,Weekly earnings - lower quartile - 34 days,C Services,586
2019-07-07,Weekly earnings - lower quartile - 34 days,Z No Match,244.25
2019-07-14,Number of paid jobs - 34 days,Total,2105750
2019-07-14,Number of paid jobs - 34 days,A Primary,88990
2019-07-14,Number of paid jobs - 34 days,B Goods Producing,400690
2019-07-14,Number of paid jobs - 34 days,C Services,1591780
2019-07-14,Number of paid jobs - 34 days,Z No Match,24290
2019-07-14,Weekly earnings - median - 34 days,Total,1009.23
2019-07-14,Weekly earnings - median - 34 days,A Primary,943.91
2019-07-14,Weekly earnings - median - 34 days,B Goods Producing,1145
2019-07-14,Weekly earnings - median - 34 days,C Services,982.05
2019-07-14,Weekly earnings - median - 34 days,Z No Match,540
2019-07-14,Weekly earnings - upper quartile - 34 days,Total,1457.17
2019-07-14,Weekly earnings - upper quartile - 34 days,A Primary,1285.88
2019-07-14,Weekly earnings - upper quartile - 34 days,B Goods Producing,1535.61
2019-07-14,Weekly earnings - upper quartile - 34 days,C Services,1455
2019-07-14,Weekly earnings - upper quartile - 34 days,Z No Match,915.38
2019-07-14,Weekly earnings - lower quartile - 34 days,Total,658.58
2019-07-14,Weekly earnings - lower quartile - 34 days,A Primary,605.02
2019-07-14,Weekly earnings - lower quartile - 34 days,B Goods Producing,855.36
2019-07-14,Weekly earnings - lower quartile - 34 days,C Services,601.8
2019-07-14,Weekly earnings - lower quartile - 34 days,Z No Match,234.5
2019-07-21,Number of paid jobs - 34 days,Total,2123440
2019-07-21,Number of paid jobs - 34 days,A Primary,89960
2019-07-21,Number of paid jobs - 34 days,B Goods Producing,402360
2019-07-21,Number of paid jobs - 34 days,C Services,1603410
2019-07-21,Number of paid jobs - 34 days,Z No Match,27710
2019-07-21,Weekly earnings - median - 34 days,Total,1007.51
2019-07-21,Weekly earnings - median - 34 days,A Primary,934.37
2019-07-21,Weekly earnings - median - 34 days,B Goods Producing,1140
2019-07-21,Weekly earnings - median - 34 days,C Services,982.16
2019-07-21,Weekly earnings - median - 34 days,Z No Match,552.11
2019-07-21,Weekly earnings - upper quartile - 34 days,Total,1475.57
2019-07-21,Weekly earnings - upper quartile - 34 days,A Primary,1270.87
2019-07-21,Weekly earnings - upper quartile - 34 days,B Goods Producing,1533
2019-07-21,Weekly earnings - upper quartile - 34 days,C Services,1479.28
2019-07-21,Weekly earnings - upper quartile - 34 days,Z No Match,904.5
2019-07-21,Weekly earnings - lower quartile - 34 days,Total,648.96
2019-07-21,Weekly earnings - lower quartile - 34 days,A Primary,585.72
2019-07-21,Weekly earnings - lower quartile - 34 days,B Goods Producing,850
2019-07-21,Weekly earnings - lower quartile - 34 days,C Services,594.92
2019-07-21,Weekly earnings - lower quartile - 34 days,Z No Match,257.61
2019-07-28,Number of paid jobs - 34 days,Total,2138080
2019-07-28,Number of paid jobs - 34 days,A Primary,90930
2019-07-28,Number of paid jobs - 34 days,B Goods Producing,402480
2019-07-28,Number of paid jobs - 34 days,C Services,1613950
2019-07-28,Number of paid jobs - 34 days,Z No Match,30720
2019-07-28,Weekly earnings - median - 34 days,Total,1009.73
2019-07-28,Weekly earnings - median - 34 days,A Primary,949.15
2019-07-28,Weekly earnings - median - 34 days,B Goods Producing,1148.63
2019-07-28,Weekly earnings - median - 34 days,C Services,983.33
